adipose tissue,adrenal gland,appendix,bone marrow,breast,bronchus,caudate,cerebellum,cerebral cortex,cervix,colon,duodenum,endometrium,endometrium 1,endometrium 2,epididymis,esophagus,eye,fallopian tube,gallbladder,hair,heart muscle,hippocampus,hypothalamus,kidney,lactating breast,liver,lung,lymph node,nasopharynx,oral mucosa,ovary,pancreas,parathyroid gland,pituitary gland,placenta,prostate,rectum,retina,salivary gland,seminal vesicle,skeletal muscle,skin,skin 1,skin 2,small intestine,smooth muscle,soft tissue 1,soft tissue 2,spleen,stomach 1,stomach 2,testis,thymus,thyroid gland,tonsil,urinary bladder,vagina
,,EPHA10,,COX11,,COX6C,RPN1,NIBAN2,PRKN,TM4SF18,,,CHD9,CLCF1,,,,,,,,TMX3,,RPS7,,LGALS9B,VPS37C,THBD,,,INPP5B,EID2B,,,,,,,,,,,KLHL40,,,,ZKSCAN3,CD47,FZD2,,,GBX1,,,CDCP1,,
,,NPIPA1,,FAM227B,,BAALC,IFT122,TMOD1,HGS,SNRK,,,GATD1,DRAP1,,,,,,,,WEE1,,TVP23B,,B3GNT2,POLR2G,STX19,,,NHSL2,CLEC14A,,,,,,,,,,,ODR4,,,,RRP7A,MAML3,PAK2,,,FOXK1,,,LZTFL1,,
,,SF3A3,,STXBP4,,CTHRC1,RFC4,CDK5RAP2,TARS3,KIAA1143,,,FZD8,ERCC4,,,,,,,,HDGFL3,,ZNF217,,TMED10,SPINDOC,MPI,,,TMEM273,CLK2,,,,,,,,,,,NECAP2,,,,LIN54,STRN3,MIGA1,,,OSR2,,,DTX3L,,
,,TREX2,,CYYR1,,DCAF13,BAP1,SLC31A2,SH3BGR,CDCP1,,,TOP3A,RPS6KB2,,,,,,,,CCDC68,,PPIH,,SLC30A1,CTNNB1,EXOSC4,,,GPRIN2,LPCAT4,,,,,,,,,,,STEAP2,,,,GSPT2,ZNG1C,NRIP1,,,CTHRC1,,,ZMYM6,,
,,MX2,,PLEKHF1,,RPP25L,PBRM1,SLC31A1,KRT6B,LZTFL1,,,MIEF2,RMI2,,,,,,,,ZSCAN21,,DRC3,,MGMT,ULK4,DPY19L3,,,ZDBF2,ZNF575,,,,,,,,,,,HTR5A,,,,C8orf76,FAM3C,RNF182,,,RPP25L,,,TPRA1,,
,,COA5,,NUDT13,,FAM219A,UVSSA,TLR4,PARPBP,FYCO1,,,NAP1L5,TOM1L2,,,,,,,,TMED3,,SHLD1,,DENND5B,FADD,PFAS,,,DAXX,PLAAT3,,,,,,,,,,,CLDN12,,,,HMGB1,SLC39A10,ZDHHC20,,,FAM219A,,,ZC3H12A,,
,,ACSM5,,TRIM44,,UBAP1,ARHGEF3,ZNF189,MUC1,ZC3H12A,,,ERICH5,B3GNTL1,,,,,,,,NDEL1,,THOP1,,PYM1,NAALADL1,HYI,,,BMPR2,PHLDB3,,,,,,,,,,,FZD1,,,,ZFP92,CASP4,OR51E1,,,PSIP1,,,SNIP1,,
,,TNFAIP8L3,,ILK,,ABCA1,SLBP,STX17,FAAP100,DNALI1,,,NR2C2,MLXIP,,,,,,,,RRAD,,LAMB2,,NPAS2,SAC3D1,CYBC1,,,PFDN6,USF3,,,,,,,,,,,SUSD3,,,,TDRD7,AP2A1,ZFP3,,,CCDC171,,,KLF15,,
,,TANGO2,,TPP1,,ZMAT4,UBXN7,USP20,PRKG1,HEYL,,,ZBTB33,AURKAIP1,,,,,,,,ATF7IP2,,SMN1,,NUDT9,BATF2,ZBTB7A,,,HSD17B8,RMDN1,,,,,,,,,,,TMED6,,,,CFAP119,ANXA4,PPA1,,,NFIL3,,,TMEM41A,,
,,SFXN4,,DCHS1,,MAMDC2,MELTF,ATP6V1G1,PSMD13,RPL39L,,,RPLP2,TOMM5,,,,,,,,ZNF606,,SNTB1,,HSD17B13,MAP4K2,SNX18,,,PBX2,MEX3C,,,,,,,,,,,CACNA1D,,,,MYT1,EOLA2,CUEDC1,,,PRKACG,,,SENP2,,
,,NDUFB1,,IFTAP,,ALDH1A1,ABLIM2,GARNL3,PBX1,BAP1,,,HASPIN,PRIMA1,,,,,,,,B2M,,CEBPB,,PA2G4,CCDC88B,MRFAP1,,,FKBPL,MYO1D,,,,,,,,,,,AASDH,,,,ZNF250,ANXA6,CMTR2,,,TMEM71,,,IFT122,,
,,TRMT12,,ATP9B,,KDM1B,ERMAP,MRPL50,NDUFA4L2,PRKCD,,,JUN,MSRA,,,,,,,,AP1G1,,PAIP1,,ELOVL6,SCARA3,C3orf38,,,SKIC2,ZNF843,,,,,,,,,,,ZNF19,,,,ZNF766,ZNF420,PITPNB,,,ALDH1A1,,,BAP1,,
,,NOG,,MOGAT2,,HGSNAT,AIMP1,DPM2,ZFP36L1,RFT1,,,GBA1,ETV4,,,,,,,,MARF1,,HINFP,,PFKFB3,PAFAH1B2,TMEM107,,,LAYN,RUFY1,,,,,,,,,,,RNF111,,,,SRGAP3,H4C3,MRPL14,,,C9orf64,,,PBRM1,,
,,MRGPRX2,,SERPINB8,,C9orf64,SLC9B2,TSTD2,UBE2L3,PBRM1,,,ACAD9,SWI5,,,,,,,,SAAL1,,CERS6,,TMC7,THAP9,EXOC3L1,,,CSNK2B,WSB2,,,,,,,,,,,DYRK1A,,,,FAM217B,GAL3ST4,TRAPPC5,,,SVEP1,,,UVSSA,,
,,CMTM4,,RIC3,,SVEP1,BDH2,PSMB7,CXorf38,UVSSA,,,IL17RA,GAPT,,,,,,,,YPEL4,,COPRS,,SMAGP,HOOK3,CCDC89,,,BAG6,SOX11,,,,,,,,,,,ERG,,,,SUPT5H,DYNC1H1,ZNF707,,,TRPV6,,,TASOR,,
,,TBK1,,IDH3A,,ANKS6,ZNF589,RABEPK,MORF4L1,LRPAP1,,,THAP5,BAIAP2,,,,,,,,FAM111A,,TP53RK,,IRX2,MAPK1IP1L,DPM3,,,POU5F1,TYMS,,,,,,,,,,,SLC35B2,,,,XPNPEP3,PCNX3,PJA1,,,FBP1,,,LRPAP1,,
,,TRAIP,,CRABP1,,DYNLT3,PLXNB1,XPA,NLRP9,PIGX,,,CRACR2B,PLEKHF2,,,,,,,,KIF7,,BPGM,,IRF2BP1,LMBRD1,SAMD4B,,,ABCF1,FUT2,,,,,,,,,,,CREB3L1,,,,ZNF471,ABCB8,WASHC1,,,PGAP4,,,MELTF,,
,,B3GALT5,,TRIM66,,MID1IP1,CCDC51,ANP32B,DMWD,MELTF,,,CD151,ARL4D,,,,,,,,LDHD,,POP7,,HSPA4,TTC39C,EDC3,,,DDR1,THAP4,,,,,,,,,,,C2CD2,,,,CD55,NOL4L,AATK,,,PCDH19,,,C1orf50,,
,,ZNF703,,RPL27A,,PCDH19,SPRY1,PDCL,SLC52A2,ABLIM2,,,NECTIN3,LRRN1,,,,,,,,TERF2IP,,MCRIP2,,ARMC10,IRF2BP2,NSUN7,,,GNL1,FAM89B,,,,,,,,,,,TAB3,,,,LONP1,CYSRT1,TMEM45A,,,PIGA,,,ERMAP,,
,,NPIPA5,,DENND2B,,PIGA,APEH,CTSV,PCYT2,ERMAP,,,FLII,ORAI3,,,,,,,,TAC3,,ARNT2,,ACYP2,NT5DC2,GATA2,,,HLA-E,MTHFR,,,,,,,,,,,TMEM268,,,,PPP1R26,TBC1D9B,ZBTB2,,,GAPVD1,,,METAP1,,
,,EMILIN3,,TMEM41B,,CARD19,MFSD8,ENPP2,BCAP31,AIMP1,,,HNRNPA0,KLHL38,,,,,,,,NAB2,,GNG12,,TRABD,SMIM4,ARID3B,,,PPP1R11,MTX3,,,,,,,,,,,UBN2,,,,TSC22D2,H4C11,MRPS23,,,NOL6,,,EMCN,,
,,BTBD9,,WEE1,,WNK2,ABHD18,DSCC1,ARL17A,EMCN,,,PCDHB9,ASCL3,,,,,,,,PIP4K2C,,COPS9,,SOCS6,MGAT2,EGR3,,,AKT1S1,SIX5,,,,,,,,,,,CABP1,,,,PIK3R4,FAM110D,DIPK2A,,,VCP,,,SLC9B2,,
,,UTY,,MAPK7,,ATP7A,CAMKV,DERL1,GNB1L,SLC9B2,,,AP3S1,TUBB6,,,,,,,,MTMR10,,TCEAL1,,POLH,PDHB,GEMIN4,,,NAT8B,ZDHHC13,,,,,,,,,,,RAB28,,,,ZNF799,KANK2,RELL1,,,BRWD3,,,BDH2,,
,,NPIPA9,,HDGFL3,,ZNF367,MST1R,DMAC1,IFITM1,BDH2,,,ARL6IP6,LYSMD3,,,,,,,,SCG5,,MANEA,,KCNS3,PXK,SHARPIN,,,MZT1,SLC38A9,,,,,,,,,,,PRXL2B,,,,C20orf96,GTF2E2,RNF41,,,ARMC3,,,PGRMC2,,
,,KCNH8,,NDST2,,NLGN4Y,GRM2,RANBP6,FFAR3,PGRMC2,,,RIC8A,JAKMIP2,,,,,,,,RCCD1,,FIBP,,GPR37,KCTD6,ZFPM1,,,TMEM231,PHETA2,,,,,,,,,,,TNFRSF14,,,,PRPF40A,RAD54B,ADO,,,ARHGAP12,,,ZNF589,,
,,TMPRSS2,,ZSCAN21,,HDX,POC1A,POLR1E,KLHDC8B,CCDC51,,,C2orf69,YES1,,,,,,,,PDIA3,,BANP,,CHCHD7,ACOX2,PLD6,,,PSENEN,SCN4B,,,,,,,,,,,C12orf43,,,,TPK1,DDI2,COA4,,,WRN,,,PLXNB1,,
,,DIABLO,,TMEM135,,STOML2,HMGB2,PLAA,IRS2,ATRIP,,,STAP2,CHMP6,,,,,,,,PBX3,,HCFC1,,HTRA3,SEPTIN2,CDC42EP4,,,ADGRG1,EPS8L2,,,,,,,,,,,RER1,,,,SLC6A9,SVIL,CCDC149,,,MARCHF8,,,ATRIP,,
,,NIPSNAP1,,NDEL1,,BRWD3,SAP30,IL11RA,BICD2,SPRY1,,,BOLA1,UFSP1,,,,,,,,ACSF2,,NIPAL4,,PPM1D,MFSD2A,CDH5,,,INSYN1,CLVS1,,,,,,,,,,,SKI,,,,AFAP1,TRIM33,CHST15,,,CFL2,,,SHISA5,,
,,LRRC51,,CIAO2B,,ARHGAP12,HAND2,UBAP2,RASA3,BSN,,,DDX10,TMEM39A,,,,,,,,GOLGA2,,PDE3A,,TRIAP1,DTYMK,R3HDM2,,,EXOC3L4,CHD9,,,,,,,,,,,PAFAH2,,,,MYO18A,UAP1L1,TMEM259,,,GTF2A1,,,SPRY1,,
,,CRELD2,,MC4R,,HECTD2,ANXA5,RNF38,AIDA,MFSD8,,,ZNF366,BNIP3,,,,,,,,COQ4,,CHCHD1,,KIAA0232,ATG4B,C14orf119,,,RGL3,FZD8,,,,,,,,,,,EXTL1,,,,BORCS6,HTT,TNRC18,,,SLC16A9,,,BSN,,
,,TSPYL2,,ATF7IP2,,FBXO33,FBXO8,TLN1,AGBL4,MST1R,,,LCORL,ZBTB8OS,,,,,,,,SLC27A4,,WASHC2C,,TMEM43,BDKRB2,PUF60,,,NAP1L4,CASKIN2,,,,,,,,,,,GRHL3,,,,CACNA1H,C5AR1,DEXI,,,LRR1,,,INTU,,
,,OAF,,BEX3,,INTS6L,CEP44,DNAJB5,PIP5K1C,RAD54L2,,,SH2B1,COX8A,,,,,,,,URM1,,TMEM134,,RNF139,RFWD3,SSC5D,,,DPF3,CCDC71,,,,,,,,,,,PTPDC1,,,,PLXNB2,SHPK,NOP10,,,DNAAF2,,,DUSP7,,
,,TSSC4,,PLEKHA7,,WRN,GASK1B,DCTN3,POLR3C,PPM1M,,,ZC3H12D,HSD11B2,,,,,,,,DOLPP1,,ZFAND4,,TSEN34,STIP1,DCTPP1,,,CRYZL1,LRRN4CL,,,,,,,,,,,NCK1,,,,ZNF782,MAP3K5,FAM89A,,,DEPP1,,,C4orf3,,
,,PKP3,,ZNF606,,MARCHF8,NAA15,TMEM8B,ZNRF1,ETNPPL,,,RNF212,EID2,,,,,,,,SP2,,CORO1B,,NUDT6,SCNN1B,PSTK,,,RIMOC1,HIC1,,,,,,,,,,,FANCC,,,,TCF4,STMN3,KCNIP1,,,MAGEC3,,,HMGB2,,
,,COPB2,,B2M,,CFL2,FHIP1A,GRHPR,EDARADD,C4orf3,,,WDR6,EID2B,,,,,,,,PRR15L,,PURG,,S1PR1,TXNDC2,SOCS4,,,PLPP6,MIEF2,,,,,,,,,,,WASF2,,,,VKORC1L1,PIGN,MRPL41,,,NOXRED1,,,HAND2,,
,,KNTC1,,ZNF592,,SUGT1,ICE1,ALDH1B1,KDM4D,SAP30,,,GEN1,GJC3,,,,,,,,COQ7,,CFL1,,PKIA,REEP4,SEPTIN1,,,JPT2,NR2C2,,,,,,,,,,,FAIM,,,,GM2A,ZNF624,P2RY8,,,AKR1E2,,,ANXA5,,
,,CCR10,,MARF1,,PGM2L1,OTUD4,HINT2,TOR3A,SCRG1,,,ZNF354B,SYNE3,,,,,,,,KATNAL2,,NAA16,,FPR2,PHYHIP,PRKRA,,,RAB12,GPR4,,,,,,,,,,,CUL4B,,,,ZNG1C,HOXA4,RGMA,,,DACT1,,,CEP44,,
,,HDDC3,,CIAO2A,,GJB2,LSM6,DENND4C,PPP1CC,HAND2,,,PLEKHM3,CLK2,,,,,,,,ENGASE,,RAB43,,FEZ2,HEXIM2,ALX1,,,HACD2,OLIG3,,,,,,,,,,,GPR153,,,,AP2A1,EOLA1,UBA7,,,BEND7,,,HPGD,,
,,DUSP8,,LDHD,,HEPACAM,MOCS2,CNPY3,NUDT17,ANXA5,,,BEND3,LPCAT4,,,,,,,,ATP5MG,,SSH3,,SOX7,ING2,FZD2,,,STK38L,RABEP2,,,,,,,,,,,GPRASP2,,,,ANXA4,PDCD1LG2,ATP6AP2,,,ATP5F1C,,,GASK1B,,
,,SOCS3,,ANPEP,,MICU2,NDUFAF2,KLC4,TRDN,FBXO8,,,DTX3,WDR25,,,,,,,,TBC1D16,,EGFL7,,MTM1,CDKN2AIP,MTURN,,,IGHG4,THAP5,,,,,,,,,,,RHBDL2,,,,WDR5B,PARVA,UBE2E2,,,COMTD1,,,NAA15,,
,,LPAR5,,DCTN5,,PKNOX2,RANBP3L,KIF13A,BTN3A2,CEP44,,,ERBB4,USF3,,,,,,,,MYO5B,,ANKRD13D,,INSR,TMEM223,ZNF609,,,IGHG2,CRACR2B,,,,,,,,,,,SHROOM4,,,,NPIPB9,KLHL14,GABRG3,,,PDZD8,,,ARFIP1,,
,,STING1,,TERF2IP,,KLHDC2,NIPBL,ZSCAN9,AKAP14,GASK1B,,,MAF,ZNF843,,,,,,,,ACAA2,,ADH6,,MFN1,ZSWIM1,GAS1,,,IGHG1,NECTIN3,,,,,,,,,,,MITD1,,,,METTL9,RPE,FIGN,,,ZNF503,,,ICE1,,
,,PDE4B,,NAB2,,ARF6,RNF180,PIM1,TMEM222,NAA15,,,CTNNBIP1,RUFY1,,,,,,,,STIM1,,CCDC96,,GIMAP8,NDUFS5,GLIPR1L2,,,MAP10,TMEM94,,,,,,,,,,,NRG2,,,,EOLA2,MCMBP,B4GALNT4,,,ABRAXAS2,,,ANAPC10,,
,,CDCA2,,PATL1,,NGB,ADGRV1,GMPR,SMYD4,FHIP1A,,,GRINA,BASP1,,,,,,,,RRM1,,RELA,,KCNMB3,LRATD2,MIGA1,,,NUP62,FLII,,,,,,,,,,,AHCYL2,,,,ANXA6,ATAD3A,C8orf33,,,FAM204A,,,MOCS2,,
,,AMER1,,STX3,,ATP5F1C,STARD4,CMTR1,PRR5,ARFIP1,,,COX5A,WSB2,,,,,,,,ZNF646,,EVC2,,TADA3,LDLRAD4,NRIP1,,,CRYGS,SVBP,,,,,,,,,,,CD1D,,,,KIAA1671,FAM118B,PLCXD1,,,ENOX2,,,NDUFAF2,,
,,NDUFA12,,C15orf48,,PRPF18,CCDC112,YIPF3,CFAP73,ANAPC10,,,STX19,FUT2,,,,,,,,SMG8,,HECTD4,,SOCS5,SLC16A4,ZNF594,,,ANKRD39,GRB2,,,,,,,,,,,SPATA2,,,,DYNC1H1,SLC9A8,CACNB4,,,GHITM,,,NIPBL,,
,,TRARG1,,MS4A7,,COMTD1,PRRC1,TMEM63B,BCR,ABCE1,,,ZHX2,SEC24C,,,,,,,,TPM4,,BNC2,,C1GALT1C1,DNAJC21,ZDHHC20,,,QTRT1,UBE2N,,,,,,,,,,,CD1B,,,,PCNX3,ZNF44,NPLOC4,,,TSC1,,,RNF180,,
,,PRR16,,DIS3L,,ZNF503,F2RL1,TJAP1,SPIN2B,ITGA2,,,RIIAD1,SMCR8,,,,,,,,ZNF641,,HSPA6,,BBLN,CNNM3,OR51E1,,,CHUK,GRAMD1C,,,,,,,,,,,TSR2,,,,ABCB8,CYRIA,TSHZ2,,,HPRT1,,,SLC25A46,,
,,TMED9,,MAPRE2,,ABRAXAS2,WDR41,SLC22A23,QRFPR,EDIL3,,,MPI,DEAF1,,,,,,,,DHRS13,,ADCK5,,ZNF672,PPIP5K1,CXCR2,,,ARHGAP19,BOLA1,,,,,,,,,,,PPP1R9A,,,,PSMD12,MYO1C,EXOC7,,,DDX21,,,STARD4,,
,,RBM33,,MARS1,,FAM204A,GRPEL2,TUBB2A,ZNF395,NDUFAF2,,,EXOSC4,MTX3,,,,,,,,KMT2D,,RAPH1,,FAM98B,ABHD15,ZNF792,,,SYNJ2BP,DDX10,,,,,,,,,,,TMED4,,,,CYSRT1,RPL12,CEP97,,,BMS1,,,CCDC112,,
,,ARMCX2,,CNPY4,,PRDX3,ERAP1,LRRC1,PTRH1,LMBRD2,,,TAF7,TMEM80,,,,,,,,NCKAP5L,,ABLIM3,,ZNF439,ZBTB5,CUEDC1,,,C8orf82,LCORL,,,,,,,,,,,EMSY,,,,C1D,MPZL1,GLRX5,,,JCAD,,,F2RL1,,
,,H1-10,,PDIA3,,GHITM,RICTOR,RIPK1,RPS19BP1,NIPBL,,,CYBC1,PHETA2,,,,,,,,GPD1,,TUBB8B,,ZNF440,ADAL,FAM83H,,,VDAC1,SH2B1,,,,,,,,,,,ZSCAN12,,,,TBC1D9B,VPS13A,MFSD5,,,FUNDC2,,,NDUFS4,,
,,SUMO3,,MEI1,,PMPCA,UBLCP1,TUBB2B,ENTPD5,ADGRV1,,,ZBTB7A,SCN4B,,,,,,,,PROSER3,,GLRX,,CANT1,LCMT2,LRRC57,,,PPP1CB,ZC3H12D,,,,,,,,,,,DUSP23,,,,KANK2,MBP,SATB1,,,METTL17,,,GRPEL2,,
,,JAG2,,PBX3,,BORCS5,NSA2,UQCC2,CMC1,SLC25A46,,,ERICH3,RHOG,,,,,,,,LENG8,,IQCB1,,ZDHHC16,ZBTB49,MRPL14,,,SULT1A4,POGLUT3,,,,,,,,,,,NIT1,,,,SYNGAP1,AKAP17A,CSF1R,,,NSMF,,,SERINC5,,
,,PTRHD1,,TMEM92,,ZMYND19,GFM2,IER3,AKR1C1,CCDC112,,,AURKB,ANO6,,,,,,,,SPINT2,,MAP3K11,,CHST11,DDX19A,TRAPPC5,,,RPS29,PLEC,,,,,,,,,,,ZNF276,,,,DDI2,NOL8,SNORC,,,TRUB1,,,ERAP2,,
,,ROBO2,,SLC27A4,,STOX1,CCDC127,ATAT1,H1-7,CMBL,,,C3orf38,CLVS1,,,,,,,,YIF1B,,DAG1,,PGAM1,ANKRD49,SLC26A11,,,KCTD11,WDR6,,,,,,,,,,,B4GALT3,,,,TRIM33,MRPL42,SKA2,,,ZFYVE1,,,RICTOR,,
,,AP3M1,,DOLPP1,,DDX21,UQCRQ,TPMT,TSPYL4,PRRC1,,,RRS1,CHD9,,,,,,,,DAPK3,,EHBP1L1,,PDE7B,TMEM150A,ZNF746,,,MDP1,GEN1,,,,,,,,,,,CCAR2,,,,UAP1L1,ZNF84,GALR2,,,HSPA12A,,,ANKRA2,,
,,F8,,ENDOG,,STK32C,GRIK2,RNF144B,GCNT1,F2RL1,,,EXOC3L1,GATD1,,,,,,,,UBXN6,,THAP2,,KSR2,RNF181,DDX60L,,,CSNK1E,ZNF354B,,,,,,,,,,,CDC42SE2,,,,MAP3K5,SIRPA,TSKU,,,FRAT1,,,CCDC127,,
,,UBOX5,,PRRX2,,FUNDC2,FABP7,TAF8,SESTD1,NDUFS4,,,RCC2,MAN1B1,,,,,,,,SEMA6B,,SMARCC1,,MCC,LRRC28,WASHC1,,,IRF9,CALML3,,,,,,,,,,,RAPGEF6,,,,GSTK1,NUP62CL,CMC4,,,SLC39A13,,,ACSL6,,
,,BRF1,,PRR15L,,NSMF,TLX3,FAM8A1,BCAM,ESM1,,,TMTC2,FZD8,,,,,,,,KIFC2,,ZNF417,,ZNF318,PLA2G4F,AATK,,,GALT,BEND3,,,,,,,,,,,FBXW5,,,,ZNF624,ZNF248,RPS17,,,RAPSN,,,UQCRQ,,
,,ANO9,,COQ7,,ZNF219,DACT2,THAP12,KCNJ11,ARSK,,,FARSA,HIC1,,,,,,,,SRR,,MOB1B,,LRRC8C,PPIC,ZBTB2,,,ITGA1,COX14,,,,,,,,,,,CFAP298,,,,EOLA1,HMGN5,CEP63,,,CPSF2,,,DACT2,,
,,HSF1,,TBC1D2B,,CCDC186,PDSS2,ANKRD42,GJA4,ANKRA2,,,SPTY2D1,MIEF2,,,,,,,,CYB5D2,,CSPG4,,PTGER4,STXBP6,RNF135,,,AP1G2,DTX3,,,,,,,,,,,MRPL10,,,,PDCD1LG2,MIER1,SPATA13,,,CLMN,,,PDSS2,,
,,LRRC37B,,RNF214,,LARGE2,STXBP5,CCDC90B,USP7,TLR3,,,SAMD4B,NAP1L5,,,,,,,,GGT6,,SCAI,,BCL2L1,MFF,SGSH,,,NAXD,KLHL11,,,,,,,,,,,GART,,,,PARVA,ZNF251,CNOT10,,,NELL1,,,STXBP5,,
,,PRMT3,,DPEP2,,PACSIN3,H2AC1,RAB30,TET3,CCDC127,,,FUCA1,ERICH5,,,,,,,,KLK1,,EIF1AX,,PLRG1,COMMD8,TMIE,,,MRPL23,CTXN1,,,,,,,,,,,SON,,,,KLHL14,SZT2,PYCR1,,,PTER,,,H2AC1,,
,,KIAA0825,,DUS2,,TTC7B,ANKRD55,CREBZF,EXD3,ACSL6,,,CALR,ZBTB33,,,,,,,,CD320,,HEG1,,NMUR1,ATP5ME,FDCSP,,,CPNE1,SLC25A20,,,,,,,,,,,LAD1,,,,RPE,RPS6KL1,ABAT,,,ARL5B,,,IL31RA,,
,,CDNF,,ENGASE,,IFI27,TRA2A,NARS2,C17orf97,UQCRQ,,,GADD45GIP1,JUN,,,,,,,,SPRYD3,,C11orf80,,CXXC5,UQCRFS1,SLX1B,,,SH3D21,ERBB4,,,,,,,,,,,CSRP1,,,,KLHDC1,QRICH1,LYSMD4,,,CEP295,,,ANKRD55,,
,,CDK10,,ATP5MG,,CLMN,SAP30L,GGH,RGPD1,DCBLD1,,,WSCD1,GBA1,,,,,,,,IGFBP6,,TOMM20,,GPR34,COL4A3,P2RY13,,,FIS1,GTPBP6,,,,,,,,,,,C1QC,,,,ATAD3A,DDX42,CALN1,,,ABTB2,,,HCN1,,
,,GAS2L1,,TBC1D16,,NELL1,NEUROD6,SDCBP,SPRY4,TMEM200A,,,HLA-DQB1,ACAD9,,,,,,,,NUDT8,,AGFG1,,PLEKHG5,IRS1,YIPF6,,,NEURL1B,ERN1,,,,,,,,,,,UBE2Z,,,,MYO1C,SDAD1,SMDT1,,,R3HCC1L,,,SLU7,,
,,ATP6V0A2,,MYO5B,,CACNB2,SLU7,NEK1,PEAR1,PDSS2,,,ARID3B,PNPLA2,,,,,,,,PRDX2,,CNP,,HDAC3,UPF3A,DIPK2A,,,HAUS3,PARP10,,,,,,,,,,,SNF8,,,,ZNF677,ASPH,RUVBL2,,,AMOTL1,,,PTTG1,,
,,PRKN,,ACAA2,,ARL5B,CAMLG,DDX60,ZFP69B,STXBP5,,,EGR3,CRACR2B,,,,,,,,TMEM88,,NET1,,TMEM51,HSPBAP1,RELL1,,,PPME1,GRINA,,,,,,,,,,,RUNX1,,,,MPZL1,SPRED2,CCDC125,,,CEP57,,,MIOS,,
,,HGS,,STIM1,,SMCO4,CDCA7L,SORL1,PLSCR3,IL31RA,,,GEMIN4,NAALADL2,,,,,,,,SRP68,,RBM4B,,PAH,ASMTL,C5orf24,,,ZSWIM8,STX19,,,,,,,,,,,CHAF1B,,,,VPS13A,ZNF26,BOLA2,,,SPRED1,,,SYTL3,,
,,MRPL30,,TRIM68,,CEP295,HEY1,TMPRSS4,EIF4EBP1,ANKRD55,,,MKRN3,CD151,,,,,,,,TK1,,RBM4,,SPATA5L1,SLC25A6,ADO,,,IFRD2,ZHX2,,,,,,,,,,,HLCS,,,,MBP,OGA,JRKL,,,TMCO5A,,,ZNF704,,
,,GPRIN3,,SMG8,,ABTB2,FABP5,BUD13,PABIR1,PI16,,,SHARPIN,NECTIN3,,,,,,,,TMEM68,,FAM174A,,EXOSC10,PARM1,MRPS11,,,TOMM6,MPI,,,,,,,,,,,ADPGK,,,,MRPL42,TCAF1,KIAA2026,,,SPATA19,,,FABP5,,
,,FAAP100,,GPX4,,TCP11L2,TAGAP,DCUN1D5,KLHL17,GALNT10,,,SLITRK4,FLII,,,,,,,,ZNF598,,FAM53A,,ZNF570,AFAP1L2,PNMA8A,,,PEX26,RFLNA,,,,,,,,,,,PTMS,,,,RPS4X,TXNRD1,SF3A3,,,IKBIP,,,COL1A2,,
,,PRKG1,,MIDN,,SPRED1,COL1A2,YAP1,ZSCAN23,RPS14,,,ZFPM1,CHID1,,,,,,,,MLST8,,MGA,,TRAPPC12,ZNF354A,CHST15,,,VPS16,TAF7,,,,,,,,,,,ATP13A2,,,,ZNF84,ZNF480,ASB7,,,BTRC,,,CHMP4C,,
,,OLFML2A,,MVD,,GPR176,FNDC1,TRIM29,TPRG1,COG5,,,ALOX15B,PCDHB9,,,,,,,,ECI1,,PRPF8,,RPS21,CCDC126,TMEM259,,,NPEPL1,GAK,,,,,,,,,,,PSMB4,,,,MAK16,ZNF587,MX2,,,BAG5,,,LMTK2,,
,,MRPL40,,SPATA33,,RPUSD2,CHMP4C,RDX,S100A3,BMT2,,,TPPP2,SVBP,,,,,,,,CASKIN1,,ADCY6,,MRM3,CD2BP2,TNRC18,,,RPL17-C18orf32,DPM3,,,,,,,,,,,BTG2,,,,SIRPA,ANKRD35,TENT5C,,,LARP6,,,C8orf48,,
,,PSMD13,,ZNF641,,BRD7,ORC5,PPP2R1B,C6orf132,PTTG1,,,PCED1B,ZNF619,,,,,,,,ABCA3,,PITPNA,,PPIH,RSPO1,NOP10,,,RSC1A1,TMTC2,,,,,,,,,,,HK2,,,,NPIPB13,TMA16,TANGO2,,,API5,,,PEX2,,
,,PBX1,,RHEBL1,,BTRC,OSGIN2,C11orf1,MAPK12,CAMLG,,,FOXS1,AP3S1,,,,,,,,DDB1,,TNK1,,QARS1,LMAN2,KCNIP1,,,TSTD1,SPTY2D1,,,,,,,,,,,CELF3,,,,ZBTB14,ATL1,HMCES,,,SENP8,,,SPIDR,,
,,NDUFA4L2,,ZNF610,,LARP6,SLC4A2,FXYD6,NHS,MIOS,,,CDH5,GRB2,,,,,,,,VPS37C,,RALGAPA1,,KRCC1,GCSAML,TDRKH,,,FNIP1,SAMD4B,,,,,,,,,,,UBR1,,,,ZNF248,CTNND1,CCR3,,,NOLC1,,,ORC5,,
,,ZFP36L1,,ZNF526,,API5,TMUB1,CASP1,TMPPE,ZNF704,,,MROH1,UBE2N,,,,,,,,FTH1,,LIG4,,CYCS,PRELID1,ERCC6L2,,,CEBPZOS,GIMAP7,,,,,,,,,,,AMFR,,,,TMEM229B,LRBA,KLHL25,,,ALKBH3,,,OSGIN2,,
,,BRWD1,,SPINT2,,SENP8,FMC1,ALKBH8,ZNF626,TAGAP,,,PDXDC1,RIC8A,,,,,,,,POLR2G,,ATP2A2,,PAIP1,CA5B,CREB3L2,,,RNASEK,FUCA1,,,,,,,,,,,MED8,,,,NPIPB6,BAZ1A,TRMT12,,,COPS2,,,SUN1,,
