adipose tissue,adrenal gland,appendix,bone marrow,breast,bronchus,cartilage,caudate,cerebellum,cerebral cortex,cervix,choroid plexus,colon,dorsal raphe,duodenum,endometrium,endometrium 1,endometrium 2,epididymis,esophagus,eye,fallopian tube,gallbladder,hair,heart muscle,hippocampus,hypothalamus,kidney,lactating breast,liver,lung,lymph node,nasopharynx,oral mucosa,ovary,pancreas,parathyroid gland,pituitary gland,placenta,prostate,rectum,retina,salivary gland,seminal vesicle,skeletal muscle,skin,skin 1,skin 2,small intestine,smooth muscle,soft tissue 1,soft tissue 2,sole of foot,spleen,stomach 1,stomach 2,substantia nigra,testis,thymus,thyroid gland,tonsil,urinary bladder,vagina
,MDP1,S100A10,,,HNRNPAB,,,LAMP1,MAOA,,,DHRS3,,ZBTB39,,,,,,,CFAP57,LGALS4,,,,,SLC16A4,,,,,KRT6A,,,,,,DENND6A,,CDT1,,,,,,,,DTYMK,,,,,,H3C4,MIER1,,HIRIP3,,,KRT6A,,
,GALT,RPL37A,,,TOPORS,,,KLHDC8B,TSPYL1,,,LAPTM5,,MYO1A,,,,,,,TTC4,ZNF540,,,,,CNNM3,,,,,SMN2,,,,,,PDE12,,ANKRD11,,,,,,,,TAP1,,,,,,GSTK1,SVIP,,TMEM219,,,HMGN1,,
,NAXD,TXNRD3,,,BCO2,,,PTCH1,FHIT,,,SYNC,,PATL1,,,,,,,TMEM35B,ZNF570,,,,,TET2,,,,,HMGN1,,,,,,GLMN,,RPL13,,,,,,,,COG7,,,,,,HNRNPAB,SULT1C2,,HMGA2,,,EIF3CL,,
,GANC,ZNF81,,,ENTPD6,,,NKAIN3,FAM53B,,,RBBP4,,MRPL16,,,,,,,MRPS6,TRAPPC12,,,,,ZBTB5,,,,,EIF3CL,,,,,,YIF1A,,RHEBL1,,,,,,,,BMP1,,,,,,PIGN,DDX42,,CNTN5,,,DENND1C,,
,REPIN1,ATAD3A,,,CPLANE1,,,LRCH3,KAZN,,,KIAA1522,,C15orf48,,,,,,,DDOST,CYP4F11,,,,,GFM1,,,,,LCMT1,,,,,,RAB1B,,TUBA1A,,,,,,,,FEN1,,,,,,TOPORS,UCKL1,,MKX,,,NYNRIN,,
,ARL16,FAM118B,,,PDCD1LG2,,,NDUFA13,HMGB1,,,NFIA,,SCG5,,,,,,,ETV5,ATPAF2,,,,,HTR1E,,,,,RIMOC1,,,,,,PTDSS2,,TUBA1C,,,,,,,,SERINC2,,,,,,CPLANE1,SPRED2,,MPP7,,,JPT2,,
,LYRM4,H4C16,,,SPTAN1,,,AGBL4,ZFP92,,,MYSM1,,MS4A7,,,,,,,H2AJ,SMN1,,,,,ANKRD49,,,,,NYNRIN,,,,,,P2RY14,,NCKAP5L,,,,,,,,ING2,,,,,,PDCD1LG2,ZNF511,,CWC15,,,RAB12,,
,MYCBP,GPAA1,,,PHF2,,,SOWAHB,BLOC1S2,,,FUBP1,,CCNDBP1,,,,,,,BCKDHA,NME6,,,,,TMEM150A,,,,,SERPINB4,,,,,,DHX36,,PROSER3,,,,,,,,TMEM223,,,,,,SPTAN1,TLK1,,LATS2,,,ZCWPW2,,
,SH3D21,ZNF790,,,PSAP,,,BLOC1S4,PTPRT,,,NEXN,,SMAD3,,,,,,,CDK11B,CYCS,,,,,LRRC28,,,,,SELENOH,,,,,,FBXW8,,LENG8,,,,,,,,SLC20A2,,,,,,PARVA,LRBA,,PDCD4,,,SELENOH,,
,FIS1,CYRIA,,,RPL37A,,,KLHL32,MATCAP1,,,FAM102B,,MS4A8,,,,,,,HAUS5,FRMD3,,,,,ZNF608,,,,,SACM1L,,,,,,CTBP2,,ZNF526,,,,,,,,TMUB2,,,,,,KLHL14,BAZ1A,,RGS18,,,IGHG4,,
,AS3MT,MYO1C,,,ZNF81,,,MRTFB,SPATS2L,,,ATXN7L2,,RCCD1,,,,,,,TMEM158,MRPL13,,,,,INPP5D,,,,,DENND1B,,,,,,MRPS22,,ZNF146,,,,,,,,AXIN2,,,,,,PSAP,FAM3D,,MTMR12,,,IGHG2,,
,STARD10,NKIRAS1,,,ATAD3A,,,BACE1,ZNF250,,,GBP4,,AKTIP,,,,,,,SHLD3,ZNF131,,,,,LETM1,,,,,SCAF8,,,,,,FAM131A,,DAPK3,,,,,,,,NDUFS5,,,,,,ZNF81,STK39,,CCT5,,,IGHG1,,
,PHB2,UGT2B17,,,H4C16,,,RXRA,FAT4,,,ZNF326,,MARS1,,,,,,,CCDC71L,DPAGT1,,,,,LGALS9,,,,,CFAP45,,,,,,CKAP5,,EEF2,,,,,,,,LDLRAD4,,,,,,ATAD3A,EIF1AY,,DLAT,,,SCAF8,,
,PEX26,H2BC12,,,ZNF44,,,ZNF75D,MPHOSPH8,,,GFI1,,PDIA3,,,,,,,PRKDC,SPTLC3,,,,,ATP5ME,,,,,ANKRD39,,,,,,ARHGAP1,,CHAF1A,,,,,,,,DNAJC21,,,,,,OCLN,CEP290,,TIMM8B,,,ANKRD39,,
,DDX3X,PLCG2,,,ZNF790,,,KPNA4,ZNF766,,,EXTL2,,PHB1,,,,,,,LRRC24,TP53RK,,,,,UQCRFS1,,,,,CHUK,,,,,,TMEM9B,,HDGFL2,,,,,,,,CNNM3,,,,,,H4C16,MT-CO2,,TEX12,,,PTPRCAP,,
,VPS16,AKAP17A,,,H2BC12,,,RPS23,LCOR,,,SLC30A7,,ACSF2,,,,,,,AP5B1,SUCLG2,,,,,HNRNPH1,,,,,PVRIG,,,,,,SMAD2,,GLOD4,,,,,,,,GSTM4,,,,,,ZNF181,ECI2,,PIP4K2A,,,PVRIG,,
,ZNF407,MRPL42,,,FCHSD1,,,NF2,ZNF471,,,CADM3,,COQ4,,,,,,,ENSG00000254692,STARD5,,,,,MECP2,,,,,ARL2,,,,,,SART1,,GPT,,,,,,,,TET2,,,,,,ZNF44,LDB1,,SEC24D,,,SIPA1,,
,RPL17-C18orf32,RPS4X,,,AKAP17A,,,UBE2H,IARS1,,,PEX19,,SLC27A4,,,,,,,ANKHD1-EIF4EBP3,GNB2,,,,,HSPBAP1,,,,,RBMXL1,,,,,,LIPT2,,GGT6,,,,,,,,ADAL,,,,,,GPAA1,SMURF1,,ABCB9,,,ARL2,,
,IFI30,ZNF84,,,ODAD3,,,ZFP91,ZBTB44,,,RBM15,,URM1,,,,,,,ENSG00000255730,ZNF24,,,,,ASMTL,,,,,SRA1,,,,,,RAB6A,,IGFBP6,,,,,,,,LCMT2,,,,,,ZNF790,RPL10A,,UBC,,,RBMXL1,,
,ZNF579,NPIPB13,,,MRPL42,,,BCDIN3D,ELAVL3,,,DENND2D,,PRR15L,,,,,,,ENSG00000256591,MRPL52,,,,,FAM110B,,,,,DNAJC9,,,,,,P2RY2,,NDUFV1,,,,,,,,STX18,,,,,,MYO1C,COLGALT2,,DCP1B,,,SRA1,,
,RNASEK,ZNF649,,,RPS4X,,,LYRM7,SLC35F1,,,SNED1,,COQ7,,,,,,,LSM14A,SMPDL3A,,,,,ATF5,,,,,VDAC1,,,,,,ERCC4,,NUDT8,,,,,,,,GFM1,,,,,,H2BC12,TMEM184B,,CACNA1C,,,DNAJC9,,
,C6orf226,HIBCH,,,GRK6,,,BCR,NPIPB15,,,PPP1R21,,CRK,,,,,,,CNPY2,RAD9A,,,,,CD2BP2,,,,,LBH,,,,,,CCDC85B,,ATP5PD,,,,,,,,HTR1E,,,,,,FCHSD1,MTOR,,NGLY1,,,VDAC1,,
,UBA52,ZNF544,,,HIBCH,,,HEXIM1,ZNF777,,,FCMR,,RNF214,,,,,,,MAP1LC3B2,CYP7B1,,,,,RSPO1,,,,,CLIC1,,,,,,RPS6KB2,,TMEM88,,,,,,,,ANKRD49,,,,,,AKAP17A,MT-CO1,,OXSM,,,LBH,,
,ZNF630,HMGN5,,,ZNF544,,,FGF3,ZNF775,,,PIGR,,CDK12,,,,,,,C17orf49,RARG,,,,,PRELID1,,,,,ZNF134,,,,,,RMI2,,TK1,,,,,,,,USP39,,,,,,IRAK4,PNP,,UEVLD,,,LAT,,
,HLA-DPB1,MIER1,,,TMEM229B,,,PPARA,SIAH1,,,MRPL55,,POP5,,,,,,,BCL2L2-PABPN1,CES4A,,,,,SLC50A1,,,,,IRF9,,,,,,AURKAIP1,,KRT24,,,,,,,,C2orf68,,,,,,RPS4X,SFT2D1,,UBE3B,,,ATF6B,,
,PLEKHM1,SVIP,,,HMGN5,,,EMID1,GDAP2,,,REL,,ATP5MG,,,,,,,MRPL46,PDP2,,,,,MRPL1,,,,,GANC,,,,,,ZNF169,,GHDC,,,,,,,,TMEM150A,,,,,,ZNF84,CHAMP1,,ANK3,,,RPS29,,
,SETSIP,ZNF587,,,MIER1,,,NAP1L1,MYO18A,,,PEX13,,MYO5B,,,,,,,HOXB7,DMXL1,,,,,RNASE2,,,,,REPIN1,,,,,,ETV4,,FAM234A,,,,,,,,LRRC28,,,,,,GRK6,MT-ND3,,PLBD2,,,DDX47,,
,RPS18,ZNF511,,,TFDP1,,,SHTN1,BORCS6,,,MEMO1,,ACAA2,,,,,,,ENSG00000260537,EGFL7,,,,,PTK2,,,,,MRPL23,,,,,,ZDHHC21,,E4F1,,,,,,,,ZNF608,,,,,,NPIPB13,KTI12,,EIF4E,,,MDP1,,
,CYP21A2,WDHD1,,,DDX42,,,DYNC2H1,MYO6,,,MAIP1,,RRM1,,,,,,,ENSG00000260643,DHCR7,,,,,PTAFR,,,,,FBXO16,,,,,,ORAI3,,ECI1,,,,,,,,LETM1,,,,,,AKR1B10,MT-ND4,,TEX30,,,GALT,,
,TAPBP,TLK1,,,TMEM116,,,CHP1,HDAC2,,,ARL5A,,TRIM68,,,,,,,ISY1-RAB43,ANKRD13D,,,,,PTPN9,,,,,LYRM4,,,,,,LYSMD3,,SRRM2,,,,,,,,PPIC,,,,,,CD2AP,MT-ND1,,FAM177A1,,,MEF2B,,
,H2BC15,LRBA,,,ZKSCAN8,,,GJA4,ZNF782,,,DUSP19,,TPM4,,,,,,,ENSG00000262660,MYD88,,,,,RASSF6,,,,,MYCBP,,,,,,TPRN,,SDHAF2,,,,,,,,TM4SF20,,,,,,HIBCH,TOP1,,ME3,,,GANC,,
,UQCRHL,BAZ1A,,,GET3,,,PTMA,RABL6,,,ACTG2,,GATAD2A,,,,,,,MRPL12,KAT5,,,,,SDC2,,,,,SH3D21,,,,,,ZNF683,,DDB1,,,,,,,,LGALS9,,,,,,ZNF544,OR10R2,,ANKRD50,,,MRPL23,,
,H2BC12L,FAM3D,,,ASPH,,,HSPA14,TECPR2,,,H3-3A,,ANKRD11,,,,,,,GTF2I,SH3RF3,,,,,MMGT1,,,,,FIS1,,,,,,UFSP1,,C2CD3,,,,,,,,ATP5ME,,,,,,HMGN5,INF2,,SCLT1,,,FBXO16,,
,ZSCAN31,STK39,,,ANKRD35,,,MAGEH1,H2AC13,,,NOSTRIN,,RPL13,,,,,,,SRSF8,TADA2B,,,,,TM2D2,,,,,HAUS3,,,,,,TCP11L1,,RPSA,,,,,,,,UQCRFS1,,,,,,MAN1A2,EFCAB2,,C4orf33,,,CPNE1,,
,NFAM1,EIF1AY,,,YTHDF2,,,GABRD,CD47,,,SMARCAD1,,RHEBL1,,,,,,,IKBKE,RELA,,,,,CLIC4,,,,,PHB2,,,,,,CCDC57,,CTNNB1,,,,,,,,HNRNPH1,,,,,,SVIP,H3C14,,FRMD4A,,,STARD10,,
,B3GNT9,MT-CO2,,,GPN1,,,NHEJ1,TLE1,,,CTSS,,TUBA1A,,,,,,,OTUD7B,EVC2,,,,,SLC38A11,,,,,MUC5AC,,,,,,ZNF135,,SF1,,,,,,,,ACTBL2,,,,,,TFDP1,H2BC18,,EPS8,,,IFRD2,,
,C2orf74,ECI2,,,ZNF511,,,SEMA4D,H2AC11,,,SCNM1,,TUBA1C,,,,,,,RBM8A,HECTD4,,,,,GPR183,,,,,PEX26,,,,,,ZSCAN2,,SCARA5,,,,,,,,HSPBAP1,,,,,,SULT1C2,H3C15,,ACAD8,,,TOMM6,,
,TMEM250,RPL10A,,,DDX39B,,,DIPK1C,ZSCAN16,,,ERCC3,,NCKAP5L,,,,,,,TIMM23,FAM222B,,,,,CCDC8,,,,,DDX3X,,,,,,HSD11B2,,NUDT16L1,,,,,,,,ASMTL,,,,,,QRICH1,GDI1,,THYN1,,,PHB2,,
,RBM14,ZNF830,,,TLK1,,,MCRS1,ILRUN,,,RNF149,,GPD1,,,,,,,RNF115,COQ2,,,,,GJB1,,,,,ZNF407,,,,,,EID2,,SETD5,,,,,,,,FAM110B,,,,,,UCKL1,PCMTD2,,ZNF827,,,VPS16,,
,TNFSF12,MUC2,,,LRBA,,,H1-2,ARID5A,,,CDC42EP3,,CYP2S1,,,,,,,RPL17,TRMT112,,,,,PCBP1,,,,,RPL17-C18orf32,,,,,,EID2B,,FAM83B,,,,,,,,NPIPB12,,,,,,SPRED2,LIME1,,NR3C2,,,RPL17-C18orf32,,
,GET4,MTOR,,,MDM4,,,DNER,NHLRC2,,,MRPS18C,,TMC4,,,,,,,RASSF5,LRRN3,,,,,HINT1,,,,,CYB5RL,,,,,,GJC3,,H3-4,,,,,,,,RAB3B,,,,,,ITSN2,RUFY2,,RNF144A,,,IFI30,,
,C1orf226,MT-CO1,,,FAM3D,,,UBQLN2,H2AC7,,,CGGBP1,,LENG8,,,,,,,STRADA,KDM2A,,,,,INO80E,,,,,ZNF579,,,,,,KCMF1,,THAP9,,,,,,,,RSPO1,,,,,,ZNF587,NHSL2,,ASAP2,,,FNIP1,,
,ADSL,CD247,,,NCOA6,,,ARL4C,CRACDL,,,GPR155,,CDC42EP5,,,,,,,GDF10,MRPL57,,,,,C15orf40,,,,,C6orf226,,,,,,LPCAT4,,MAPK1IP1L,,,,,,,,PRELID1,,,,,,YTHDF2,GGTA1,,KCNJ1,,,C6orf226,,
,ISY1,CHAMP1,,,MT-CO2,,,TMPPE,H2BC26,,,PMVK,,ZNF526,,,,,,,ZNF285,PARP14,,,,,RAMAC,,,,,SLC12A8,,,,,,BASP1,,DDIT4,,,,,,,,NPIPB3,,,,,,WDHD1,TMEM273,,TMEM45B,,,TRIM16,,
,RDH14,OPA1,,,CTR9,,,PRKAR1B,FAM3C,,,YY1AP1,,ZNF146,,,,,,,ENSG00000267561,CKS1B,,,,,MT1E,,,,,UBA52,,,,,,FIBIN,,PTGDR,,,,,,,,MRPL1,,,,,,TLK1,TCEA3,,WWC2,,,CCNL2,,
,ATP5MF,MT-ND3,,,GPATCH3,,,CENPP,AP2A1,,,SLC22A15,,EEF2,,,,,,,FAM156A,VANGL1,,,,,HNRNPF,,,,,ZNF630,,,,,,DPP7,,IRF2BP2,,,,,,,,SHE,,,,,,LRBA,HSD17B8,,ACSL1,,,UBA52,,
,ARPC1A,KTI12,,,ZNF830,,,GTF2F2,FUT11,,,ATP1A1,,CHAF1A,,,,,,,H3Y2,GOLGB1,,,,,BTD,,,,,VPS52,,,,,,SEC24C,,NT5DC2,,,,,,,,PTAFR,,,,,,FAM3D,RXRB,,CCDC122,,,ZNF630,,
,ATP5PO,TOX,,,MT-CO1,,,H3-5,NPIPB9,,,EIF4E3,,HDGFL2,,,,,,,IKBKG,MAP3K11,,,,,CSGALNACT2,,,,,CROCC2,,,,,,SMCR8,,COA6,,,,,,,,PTPN9,,,,,,EIF1AY,AGPAT1,,SERP2,,,USP17L2,,
,EIF6,CES1,,,PAX9,,,H2AX,ZNF470,,,ARPC2,,GLOD4,,,,,,,BIVM-ERCC5,MICOS10,,,,,TPST1,,,,,HSBP1L1,,,,,,MTHFR,,H1-4,,,,,,,,TM2D2,,,,,,CEP290,SMIM5,,NBAS,,,CKMT1A,,
,AP5Z1,CD3E,,,CHAMP1,,,SRSF10,GMFB,,,STK36,,GGT6,,,,,,,H4C15,RNF26,,,,,ZNF768,,,,,PARG,,,,,,DEAF1,,DTYMK,,,,,,,,GPR183,,,,,,MT-CO2,SKIC2,,PABPC3,,,HLA-DPB1,,
,EIF4EBP3,FICD,,,DENND4B,,,RALGAPA2,ZNF420,,,CIP2A,,NDUFV1,,,,,,,TAF15,PPP1R14B,,,,,MAP3K2,,,,,SCAMP4,,,,,,WDR73,,TAP1,,,,,,,,CCDC8,,,,,,ECI2,NELFE,,PARP8,,,PLEKHM1,,
,TTC4,RUNDC1,,,KTI12,,,RTL6,H4C3,,,CWC22,,NUDT8,,,,,,,GAS2L2,PTPRM,,,,,PUSL1,,,,,DHFR,,,,,,EPS8L2,,ING5,,,,,,,,PCBP1,,,,,,LDB1,ZBTB12,,PTPN14,,,RPL41,,
,TMEM35B,TOP1,,,CES1,,,ZDHHC9,LRRC8B,,,TRAT1,,HID1,,,,,,,H4C14,PEAK1,,,,,SF3B5,,,,,SETSIP,,,,,,ANO6,,COG7,,,,,,,,INO80E,,,,,,SMURF1,SDHD,,GPATCH11,,,SETSIP,,
,JMJD7,SREBF2,,,SMC5,,,FAM221A,H3C12,,,CHCHD4,,ATP5PD,,,,,,,CFAP206,MOB1B,,,,,IFFO2,,,,,RPS18,,,,,,ZBTB34,,FEN1,,,,,,,,CKAP2L,,,,,,RPL10A,LAYN,,HSPB8,,,RPS18,,
,MRPS6,KIAA0753,,,PRMT6,,,TMEM120B,SND1,,,SUCLG1,,TMEM88,,,,,,,H3-7,CSPG4,,,,,MYO7B,,,,,TAPBP,,,,,,RPS6KA3,,SERINC2,,,,,,,,RAMAC,,,,,,COLGALT2,LSM2,,POU4F1,,,TAPBP,,
,GSTA1,OR10R2,,,TOP1,,,RBM34,PSMD12,,,NUAK2,,EVPL,,,,,,,H4C12,SNX33,,,,,ALCAM,,,,,H2BC15,,,,,,CHD9,,SLC20A2,,,,,,,,LUZP1,,,,,,ZNF830,GPANK1,,OBI1,,,H2BC15,,
,NFS1,INF2,,,PRC1,,,SKOR1,ENTPD4,,,MNDA,,GHDC,,,,,,,CWC25,NUDT4,,,,,TRAPPC1,,,,,H2BC12L,,,,,,TOP3A,,TMUB2,,,,,,,,AGPAT2,,,,,,MTOR,DHX16,,CYSLTR2,,,H2BC12L,,
,PGAM5,EFCAB2,,,RASGEF1A,,,RPL14,H4C11,,,FABP1,,FAM234A,,,,,,,H2BC14,PC,,,,,ZNF778,,,,,HLA-B,,,,,,PPFIA3,,NDUFS5,,,,,,,,MT1E,,,,,,MT-CO1,MRPS18B,,GRID2,,,HLA-B,,
,BCKDHA,TATDN3,,,KIAA0753,,,MSL1,GTF2E2,,,ICA1L,,E4F1,,,,,,,H2BC8,RCE1,,,,,RNF150,,,,,ZSCAN31,,,,,,SAMD9L,,LDLRAD4,,,,,,,,LIMS1,,,,,,PNP,PPP1R10,,ATP5F1A,,,ZSCAN31,,
,CDK11B,DDO,,,CCDC167,,,NOC2L,BLM,,,SPICE1,,ECI1,,,,,,,H3C8,UQCRH,,,,,USP47,,,,,C12orf75,,,,,,PAWR,,DNAJC21,,,,,,,,TAPT1,,,,,,SFT2D1,ABCF1,,HAUS1,,,KDM4E,,
,HAUS5,H3C14,,,OR10R2,,,ZNF292,TRIM33,,,CADPS,,SRRM2,,,,,,,H2BC6,TAS1R1,,,,,MRAP,,,,,KDM4E,,,,,,TBL1XR1,,PKIG,,,,,,,,HNRNPF,,,,,,CHAMP1,DDR1,,SPC25,,,B3GNT9,,
,NAIP,H2BC18,,,EFCAB2,,,ZNF567,HTT,,,COX18,,SDHAF2,,,,,,,H4C6,EIF1AX,,,,,ZNF282,,,,,C2orf74,,,,,,SAMD12,,CNNM3,,,,,,,,SYAP1,,,,,,OPA1,PPP1R11,,TGOLN2,,,CKMT1B,,
,SMIM20,H3C15,,,DDO,,,NDUFA4,H3C4,,,PTPN13,,VPS37C,,,,,,,H2BC17,BCLAF3,,,,,GON7,,,,,TMEM250,,,,,,C18orf32,,TET2,,,,,,,,TPST1,,,,,,DENND4B,RACK1,,POC5,,,TMEM250,,
,SELENOP,PCMTD2,,,H3C14,,,APOD,OPALIN,,,PSMD6,,C2CD3,,,,,,,H3C6,TOMM20,,,,,STX8,,,,,RBM14,,,,,,GBA1,,LCMT2,,,,,,,,TM4SF4,,,,,,MT-ND3,SPDYC,,XRCC4,,,TXNDC5,,
,ALG11,LIME1,,,H2BC18,,,H1-0,GSTK1,,,HESX1,,RPSA,,,,,,,H2AC12,JUP,,,,,B3GNT2,,,,,GET4,,,,,,ACAD9,,STX18,,,,,,,,S100G,,,,,,MT-ND4,TRIM27,,BOLL,,,CASTOR1,,
,PRKDC,SAMD13,,,H3C15,,,SF3B3,HNRNPAB,,,DNASE1L3,,CTNNB1,,,,,,,H4C13,PLK3,,,,,GPRC5C,,,,,ADSL,,,,,,PNPLA2,,GFM1,,,,,,,,ZNF768,,,,,,MT-ND1,UQCC3,,SUV39H2,,,RBM14,,
,ZNF260,GGTA1,,,C6orf163,,,PLAC9,PDGFA,,,RBM47,,SF1,,,,,,,H2AC15,GOLIM4,,,,,MGMT,,,,,ISY1,,,,,,DNAJC28,,ANKRD49,,,,,,,,IFFO2,,,,,,TOP1,FBXO48,,OLAH,,,GET4,,
,PINX1,DAXX,,,PCMTD2,,,ZNF573,RPF2,,,CRELD1,,SCARA3,,,,,,,PRAG1,UBXN2A,,,,,SLC23A1,,,,,RDH14,,,,,,CD151,,USP39,,,,,,,,MYO7B,,,,,,SREBF2,SPIRE2,,PFKM,,,ADSL,,
,ENSG00000254692,TCEA3,,,EFCAB7,,,FAM47E,MYO5A,,,PCOLCE2,,SCARA5,,,,,,,H3C11,CCS,,,,,NUDT9,,,,,NSUN6,,,,,,NECTIN3,,TNIP2,,,,,,,,CNTROB,,,,,,OR10R2,ZBTB10,,MBNL1,,,TNFRSF13B,,
,HTD2,RXRB,,,LRRC73,,,JPT1,SIPA1L1,,,U2SURP,,NUDT16L1,,,,,,,H4C7,GNG5,,,,,TMC7,,,,,YAE1,,,,,,HNRNPA0,,TMEM150A,,,,,,,,SIMC1,,,,,,INF2,PSMB10,,CAPSL,,,ISY1,,
,EID1,HLA-DMA,,,TCEAL5,,,PCDH18,PIGN,,,GYG1,,H3-4,,,,,,,AATF,MSRB3,,,,,CDH2,,,,,CRCP,,,,,,CHID1,,LRRC28,,,,,,,,ZNF778,,,,,,EFCAB2,RGL3,,GJA1,,,HLA-DOB,,
,ENSG00000255639,TAP2,,,RPA4,,,BTBD8,HOXA4,,,HPS3,,THAP9,,,,,,,H2BC9,ZDHHC24,,,,,IRF2BP1,,,,,ATP5PO,,,,,,ZNF619,,ZNF608,,,,,,,,HNRNPA3,,,,,,DDO,HMGN1,,DDX4,,,YAE1,,
,ENSG00000255730,HLA-DRA,,,TRAF3IP1,,,TSPYL1,TOPORS,,,TOPBP1,,RNF187,,,,,,,H3C1,KICS2,,,,,TRABD,,,,,AP5Z1,,,,,,GRB2,,INPP5D,,,,,,,,RNF150,,,,,,H3C14,EIF3CL,,GPR180,,,ARPC1A,,
,POLG2,AGPAT1,,,RUFY2,,,FHIT,SPTAN1,,,ZNF513,,DDIT4,,,,,,,ENSG00000275740,PRPF8,,,,,KIF5B,,,,,MRPL33,,,,,,BET1L,,PPIC,,,,,,,,FABP6,,,,,,H2BC18,RIMOC1,,HNRNPDL,,,ATP5PO,,
,ENSG00000256591,SMIM5,,,GGTA1,,,LIN54,PARVA,,,SLC4A1AP,,PTGDR,,,,,,,H4C9,DDX23,,,,,AKAP13,,,,,NME2,,,,,,ASB8,,TM4SF20,,,,,,,,USP47,,,,,,H3C15,NYNRIN,,RAD17,,,EIF6,,
,DENND11,NEU1,,,BMPR2,,,FAM53B,KLHL14,,,KIF15,,GLYCTK,,,,,,,H2AC14,SLC6A19,,,,,GPR27,,,,,TTC4,,,,,,IMPDH2,,LGALS9,,,,,,,,PDCD6IP,,,,,,GDI1,JPT2,,CWC27,,,AP5Z1,,
,MAP1LC3B2,LSM2,,,TCEA3,,,HMGB1,PHF2,,,ZDHHC3,,IRF2BP2,,,,,,,H2BC3,LIG4,,,,,MTSS1,,,,,TMEM35B,,,,,,NDUFAF3,,CPLX1,,,,,,,,MRAP,,,,,,LIME1,HACD2,,SRP19,,,NAA80,,
,C17orf49,GPANK1,,,RING1,,,ZFP92,PSAP,,,FYCO1,,NT5DC2,,,,,,,H2AC16,PELI3,,,,,TSEN34,,,,,MRPS6,,,,,,BOLA1,,ATP5ME,,,,,,,,CRTAP,,,,,,RPA4,SELENOH,,CDYL,,,TTC4,,
,PDF,ZNF814,,,HSD17B8,,,BLOC1S2,S100A10,,,DTX3L,,MGAT2,,,,,,,H4C5,ANGEL2,,,,,NDUFA3,,,,,NFS1,,,,,,DALRD3,,UQCRFS1,,,,,,,,ELP5,,,,,,GGTA1,SACM1L,,CARHSP1,,,TMEM35B,,
,PIERCE2,DHX16,,,RXRB,,,SERPINA3,RPL37A,,,NMNAT3,,H1-4,,,,,,,H2AC8,IQCK,,,,,NUDT6,,,,,ETV5,,,,,,ZNF518B,,HNRNPH1,,,,,,,,STX8,,,,,,TCEA3,MAP10,,TXNDC11,,,MRPS6,,
,ISY1-RAB43,MRPS18B,,,AGPAT1,,,SPATS2L,TAF13,,,ZMYM6,,DTYMK,,,,,,,H4C4,SLC29A2,,,,,PKHD1,,,,,RBM12,,,,,,POGLUT3,,MECP2,,,,,,,,UBB,,,,,,HSD17B8,DENND1B,,CLGN,,,APOBEC3C,,
,ENSG00000262660,DDR1,,,SMIM5,,,ZNF250,FAM118B,,,SNIP1,,TAP1,,,,,,,H2BC7,HRAS,,,,,S1PR1,,,,,PTCHD4,,,,,,ZNF354B,,ACTBL2,,,,,,,,B3GNT2,,,,,,RXRB,SCAF8,,CETN3,,,PGAM5,,
,MRPL12,ZNF616,,,NELFE,,,ZNF79,H4C16,,,POLR2H,,ING5,,,,,,,MARCKS,SRP72,,,,,TSNARE1,,,,,USP51,,,,,,ZFAND2A,,HSPBAP1,,,,,,,,TMED10,,,,,,AGPAT1,GIMAP1,,SMARCA5,,,USP51,,
,GTF2I,TRIM31,,,ZBTB12,,,MPHOSPH8,ZNF44,,,RPN1,,ATG4B,,,,,,,H3C7,DENND6A,,,,,FEZ2,,,,,BCKDHA,,,,,,ZNF223,,ASMTL,,,,,,,,DCLK2,,,,,,SMIM5,ANKRD39,,RASSF3,,,BCKDHA,,
,SRSF8,PPP1R11,,,SLC44A4,,,RYR1,GPAA1,,,SENP2,,COG7,,,,,,,PRICKLE4,PDE12,,,,,TRMT61B,,,,,CDK11B,,,,,,GLDC,,SLC25A6,,,,,,,,GPRC5C,,,,,,NELFE,ARL2,,HNRNPU,,,CDK11B,,
,IKBKE,SPDYC,,,HSPA1B,,,LCOR,ZNF790,,,IFT122,,BMP1,,,,,,,H2AC4,GLMN,,,,,MFN1,,,,,HAUS5,,,,,,P4HTM,,PARM1,,,,,,,,KRT8,,,,,,ZBTB12,RBMXL1,,RANBP2,,,PCP4L1,,
,RBM8A,TRIM27,,,HSPA1A,,,SUPT3H,NKIRAS1,,,PRKCD,,FEN1,,,,,,,H2BC10,YIF1A,,,,,KCNMB3,,,,,CDK3,,,,,,MAF,,FAM110B,,,,,,,,MGMT,,,,,,SDHD,SRA1,,AHCTF1,,,ENSG00000248751,,
,TIMM23,MRPL53,,,LSM2,,,NIF3L1,H2BC12,,,GNL3,,SERINC2,,,,,,,H4C1,RSRC1,,,,,PRKCE,,,,,SELENOP,,,,,,DHFR2,,ATF5,,,,,,,,METTL7B,,,,,,LAYN,DNAJC9,,MERTK,,,ENSG00000250264,,
,RNF115,UQCC3,,,CARD16,,,IARS1,HES5,,,PBRM1,,TMEM223,,,,,,,H2AC17,PTDSS2,,,,,C1GALT1C1,,,,,SHLD3,,,,,,THBD,,NPIPB12,,,,,,,,HARS1,,,,,,LSM2,NDUFS3,,NR4A2,,,SELENOP,,
